,deltatheta,dB_release
0,0,0
1,0.469387755102,0
2,0.938775510204,0
3,1.40816326531,0
4,1.87755102041,0
5,2.34693877551,0
6,2.81632653061,0
7,3.28571428571,0
8,3.75510204082,0
9,4.22448979592,0
10,4.69387755102,0
11,5.16326530612,0
12,5.63265306122,0
13,6.10204081633,0
14,6.57142857143,0
15,7.04081632653,0
16,7.51020408163,0
17,7.97959183673,0
18,8.44897959184,0
19,8.91836734694,0
20,9.38775510204,0
21,9.85714285714,0
22,10.3265306122,0
23,10.7959183673,0
24,11.2653061224,0
25,11.7346938776,0
26,12.2040816327,0
27,12.6734693878,0
28,13.1428571429,0
29,13.612244898,0
30,14.0816326531,0
31,14.5510204082,0
32,15.0204081633,0
33,15.4897959184,0
34,15.9591836735,0
35,16.4285714286,0
36,16.8979591837,0
37,17.3673469388,0
38,17.8367346939,0
39,18.306122449,0
40,18.7755102041,0
41,19.2448979592,0
42,19.7142857143,0
43,20.1836734694,0
44,20.6530612245,0
45,21.1224489796,0
46,21.5918367347,0
47,22.0612244898,0
48,22.5306122449,0
49,23,0
